protein,degree,clustering_coefficient,drug_target
RXRA,63,0.20634920634920634,1
NCOA2,49,0.27125850340136054,1
NCOA1,52,0.3092006033182504,0
UCP1,20,0.5210526315789473,0
RXRG,22,0.5670995670995671,1
NR1H3,33,0.32386363636363635,1
XPR1,23,0.4150197628458498,0
ADIPOR2,6,1.0,0
CD36,98,0.16053019145802652,0
LPIN1,40,0.44871794871794873,0
SCARB2,69,0.1794543904518329,0
ACADM,39,0.30364372469635625,1
ACOX1,84,0.20281124497991967,1
CPT2,20,0.5473684210526316,1
ANGPTL4,11,0.2727272727272727,0
RXRB,29,0.3522167487684729,1
HMGCS2,43,0.3787375415282392,0
PEX11A,2,1.0,0
PPARGC1B,40,0.25,1
PLIN5,4,0.8333333333333334,0
TRIB3,16,0.31666666666666665,0
SIRT4,22,0.5108225108225108,0
SIRT5,35,0.4369747899159664,1
SIRT6,28,0.38095238095238093,0
SIRT2,37,0.38738738738738737,0
SIRT3,44,0.3054968287526427,0
NADK2,16,0.9,0
ENPP3,124,0.19145030159979018,0
ENPP1,133,0.17190704032809295,1
NUDT12,30,0.5126436781609195,0
CD38,90,0.20898876404494382,1
BST1,22,0.6233766233766234,1
NADSYN1,28,0.3862433862433862,1
NMNAT2,29,0.5394088669950738,0
NMNAT1,29,0.5886699507389163,0
SIRT7,19,0.49122807017543857,0
SLC25A20,17,0.3382352941176471,1
SLC25A29,1,0.0,1
ACAT2,54,0.3382250174703005,0
HSD3B7,18,0.5163398692810458,0
SREBF2,55,0.22087542087542086,0
SOAT2,13,0.46153846153846156,0
LIPA,14,0.4725274725274725,0
CEL,44,0.19767441860465115,1
SOAT1,13,0.47435897435897434,1
CYP24A1,23,0.09881422924901186,0
GC,42,0.2601626016260163,1
CYP27B1,23,0.20553359683794467,1
CYP2R1,6,0.6,0
PAG1,8,0.6071428571428571,0
CYP27A1,25,0.21666666666666667,0
CYP46A1,10,0.7111111111111111,0
NDUFAF4,51,0.9184313725490196,0
NDUFAF1,53,0.9150943396226415,0
NDUFC1,71,0.9303822937625754,1
NDUFB2,71,0.930784708249497,1
NDUFB1,71,0.9327967806841047,1
COX7A2L,33,0.8125,0
ACAD9,43,0.48615725359911405,0
UQCRH,96,0.7006578947368421,0
COX5B,105,0.6375457875457875,1
COX5A,115,0.5670480549199085,1
NDUFA4,93,0.6991584852734923,0
FGF20,45,0.39191919191919194,0
GRB2,212,0.13533935437717964,1
FGF9,55,0.31043771043771046,0
INSR,72,0.236697965571205,1
ERBB2,204,0.1469139379889887,1
KL,38,0.2930298719772404,0
FGF22,49,0.37755102040816324,0
PIK3R2,138,0.2125251242991643,1
INSRR,15,0.6571428571428571,1
OGT,26,0.2923076923076923,0
GAB1,40,0.55,0
CBLB,18,0.6405228758169934,0
CBL,110,0.21317764804003336,0
GAB2,38,0.5433854907539118,0
IRS2,55,0.30976430976430974,0
IRS4,35,0.373109243697479,0
PIK3R3,133,0.20665299612668034,1
PIK3R1,189,0.1646403242147923,1
PIK3CB,144,0.19667832167832167,1
PIK3CD,124,0.22003671649619722,1
PIK3CA,181,0.1712707182320442,1
SOCS4,9,0.8055555555555556,0
SHC4,37,0.3138138138138138,0
SHC2,37,0.31681681681681684,0
SHC3,39,0.31983805668016196,0
GRB14,3,0.3333333333333333,0
